id,year,month,day,hr,min,sec,Lat,Lon,depth,Mw,time_date
1,2010,1,5,7,38,12,32.16,105.24,22,3.4,5/1/2010 7:38
2,2010,1,8,1,1,25,32.42,105.15,23,3.2,8/1/2010 1:01
3,2010,1,16,21,34,20,27.35,102.5,7,3.1,16/1/2010 21:34
4,2010,1,21,2,1,14,31.3,103.39,18,3.6,21/1/2010 2:01
5,2010,1,31,5,36,57,30.28,105.71,5,4.8,31/1/2010 5:36
6,2010,2,11,11,1,18,32.2,104.52,16,3.4,11/2/2010 11:01
7,2010,2,15,14,57,3,32.29,104.88,22,3.4,15/2/2010 14:57
8,2010,2,16,4,34,1,30.82,104.58,24,3,16/2/2010 4:34
9,2010,2,17,12,38,1,30.76,103.37,24,3.8,17/2/2010 12:38
10,2010,2,22,21,32,23,29.36,105.46,30,4.2,22/2/2010 21:32
11,2010,2,27,5,37,31,31.16,103.41,21,4.1,27/2/2010 5:37
12,2010,3,1,14,24,54,32.33,105.04,14,4.2,1/3/2010 14:24
13,2010,3,3,22,35,1,32.86,105.31,7,3.5,3/3/2010 22:35
14,2010,3,5,1,52,16,31.94,104.22,6,3.7,5/3/2010 1:52
15,2010,3,10,14,23,38,32.56,105.27,8,3.2,10/3/2010 14:23
16,2010,3,19,21,33,44,31.3,103.55,19,3.1,19/3/2010 21:33
17,2010,3,23,23,52,20,31.26,103.36,14,4.1,23/3/2010 23:52
18,2010,3,24,0,20,52,31.26,103.36,14,3.2,24/3/2010 0:20
19,2010,3,25,13,18,4,32.51,105.19,24,3.4,25/3/2010 13:18
20,2010,3,29,11,18,57,27.6,97.61,5,3.2,29/3/2010 11:18
21,2010,4,3,22,51,48,27.72,99.94,9,3.1,3/4/2010 22:51
22,2010,4,10,2,57,41,32.35,104.96,22,3.3,10/4/2010 2:57
23,2010,4,10,6,51,15,32.76,105.86,5,3.1,10/4/2010 6:51
24,2010,4,13,16,29,46,29.29,105.6,17,3.6,13/4/2010 16:29
25,2010,4,14,8,59,41,32.77,97.01,8,3.8,14/4/2010 8:59
26,2010,4,25,10,31,18,27.91,103.81,7,3.1,25/4/2010 10:31
27,2010,4,27,6,15,55,31.17,103.44,19,3.5,27/4/2010 6:15
28,2010,4,27,13,21,49,32,104.52,22,3.7,27/4/2010 13:21
29,2010,4,27,15,30,57,32,104.5,20,3.2,27/4/2010 15:30
30,2010,4,28,4,22,27,30.6,101.45,8,5,28/4/2010 4:22
31,2010,4,28,15,12,16,32.52,105.12,20,3.8,28/4/2010 15:12
32,2010,4,29,22,22,36,31.86,104.15,24,3.4,29/4/2010 22:22
33,2010,5,7,2,23,8,31.28,103.53,20,3.2,7/5/2010 2:23
34,2010,5,7,15,3,19,31.28,103.53,19,3.2,7/5/2010 15:03
35,2010,5,8,14,19,38,30.13,103.48,17,3.1,8/5/2010 14:19
36,2010,5,14,6,56,17,28.68,105.69,25,3.1,14/5/2010 6:56
37,2010,5,15,17,6,58,31.83,104.06,24,3.6,15/5/2010 17:06
38,2010,5,16,19,45,13,31.82,104.32,19,3.3,16/5/2010 19:45
39,2010,5,25,14,11,53,31.17,103.49,20,5,25/5/2010 14:11
40,2010,5,26,7,32,45,31.34,103.53,20,3.4,26/5/2010 7:32
41,2010,5,28,11,4,52,31.81,104.12,10,4.4,28/5/2010 11:04
42,2010,5,30,7,5,3,32.54,105.28,20,3.2,30/5/2010 7:05
43,2010,6,22,18,5,12,31.53,103.86,10,3.1,22/6/2010 18:05
44,2010,6,23,12,53,50,32.58,97.42,10,3.1,23/6/2010 12:53
45,2010,6,26,13,19,43,32.64,105.37,16,3.4,26/6/2010 13:19
46,2010,6,27,15,51,29,31.28,103.73,21,3,27/6/2010 15:51
47,2010,6,29,22,13,32,32.33,104.89,24,3.4,29/6/2010 22:13
48,2010,6,30,16,31,40,32.31,104.83,13,4.7,30/6/2010 16:31
49,2010,7,1,22,26,33,32.49,105.03,20,3.1,1/7/2010 22:26
50,2010,7,6,21,3,39,30.87,103.27,19,3.2,6/7/2010 21:03
51,2010,7,11,13,24,34,30.57,104.54,25,3.2,11/7/2010 13:24
52,2010,7,15,5,19,27,36.81,97.52,10,4.1,15/7/2010 5:19
53,2010,7,15,5,41,2,29.29,103.98,21,3.3,15/7/2010 5:41
54,2010,7,15,5,49,14,29.3,103.98,21,3.1,15/7/2010 5:49
55,2010,7,15,6,6,53,29.28,103.97,18,3.3,15/7/2010 6:06
56,2010,7,15,6,53,17,29.27,103.96,17,3.3,15/7/2010 6:53
57,2010,7,15,7,48,11,29.27,103.96,19,4,15/7/2010 7:48
58,2010,7,16,6,13,18,28.41,104.88,17,3.4,16/7/2010 6:13
59,2010,7,17,19,39,35,30.72,103.37,22,3,17/7/2010 19:39
60,2010,7,17,20,0,11,32.06,104.56,19,3.3,17/7/2010 20:00
61,2010,7,27,16,36,29,32.14,104.56,17,3.4,27/7/2010 16:36
62,2010,8,3,3,18,1,32.24,104.88,21,3.7,3/8/2010 3:18
63,2010,8,6,16,10,32,32.58,105.38,19,3.3,6/8/2010 16:10
64,2010,8,8,21,27,16,29.42,106.22,8,3.2,8/8/2010 21:27
65,2010,8,18,9,39,4,32.18,104.64,18,3.8,18/8/2010 9:39
66,2010,8,22,7,22,56,31.74,104.2,20,3,22/8/2010 7:22
67,2010,8,24,5,16,3,32.37,105.18,12,3.1,24/8/2010 5:16
68,2010,8,25,7,17,54,35.51,99.5,4,3.6,25/8/2010 7:17
69,2010,8,29,8,53,26,27.13,103.02,10,4.9,29/8/2010 8:53
70,2010,8,29,9,14,37,30.75,103.31,22,3,29/8/2010 9:14
71,2010,9,1,3,51,42,32,104.47,19,3,1/9/2010 3:51
72,2010,9,5,21,20,14,32.42,105.14,22,3.4,5/9/2010 21:20
73,2010,9,10,21,21,43,29.36,105.43,6,4.5,10/9/2010 21:21
74,2010,9,11,13,6,59,31.07,103.45,17,3.1,11/9/2010 13:06
75,2010,9,12,4,16,14,30.97,103.34,14,3.4,12/9/2010 4:16
76,2010,9,17,8,37,18,31.32,103.39,16,3.9,17/9/2010 8:37
77,2010,9,22,19,19,29,27.13,102.98,8,4.2,22/9/2010 19:19
78,2010,9,30,6,48,19,31.78,103.97,15,3.1,30/9/2010 6:48
79,2010,10,1,12,19,43,32.58,105.34,20,3.2,1/10/2010 12:19
80,2010,10,1,15,42,45,30.96,103.43,19,3.2,1/10/2010 15:42
81,2010,10,6,12,51,1,28.36,104.91,17,4.1,6/10/2010 12:51
82,2010,10,8,7,3,47,31.34,103.49,18,3.8,8/10/2010 7:03
83,2010,10,9,14,48,50,32.95,106.19,8,3.7,9/10/2010 14:48
84,2010,10,10,0,16,8,32.08,104.48,21,3.9,10/10/2010 0:16
85,2010,10,12,1,54,31,32.94,106.22,7,3,12/10/2010 1:54
86,2010,10,14,12,8,57,32.33,104.95,25,3,14/10/2010 12:08
87,2010,10,15,5,1,55,28.68,104.98,21,3.3,15/10/2010 5:01
88,2010,10,18,5,49,38,28.06,104.11,11,4.7,18/10/2010 5:49
